customer_id,subscription_id,amount,payment_method,failure_reason,attempt_number,previous_successes,previous_failures,customer_tenure_days,subscription_age_days,plan_value,days_since_failure,historical_recovery_rate,customer_segment,recovered
C1033,sub_1033,1499,card,insufficient_funds,4,7,2,857,417,1499,15,0.667,new,0
C1034,sub_1034,799,card,insufficient_funds,3,2,2,757,407,799,3,0.429,standard,0
C1035,sub_1035,999,card,network,4,4,6,22,359,999,2,0.385,standard,0
C1036,sub_1036,999,netbanking,network,3,6,3,467,231,999,15,0.583,standard,1
C1037,sub_1037,499,card,insufficient_funds,2,1,0,567,643,499,4,0.5,standard,0
C1038,sub_1038,4999,netbanking,network,3,3,5,1252,12,4999,1,0.364,standard,0
C1039,sub_1039,799,upi,card_expired,4,2,2,1241,551,799,17,0.429,new,0
C1040,sub_1040,1499,card,insufficient_funds,4,13,6,1311,843,1499,15,0.636,loyal,0
C1041,sub_1041,499,card,bank_decline,1,5,5,699,792,499,20,0.462,standard,0
C1042,sub_1042,4999,card,bank_decline,5,12,0,497,333,4999,13,0.867,standard,0
C1043,sub_1043,4999,card,insufficient_funds,2,7,6,753,769,4999,10,0.5,standard,0
C1044,sub_1044,299,card,bank_decline,5,7,6,1189,214,299,14,0.5,new,0
C1045,sub_1045,1499,netbanking,bank_decline,2,13,5,936,217,1499,17,0.667,enterprise,1
C1046,sub_1046,1499,card,insufficient_funds,1,9,1,905,309,1499,13,0.769,standard,0
C1047,sub_1047,499,upi,insufficient_funds,5,3,4,656,16,499,7,0.4,standard,1
C1048,sub_1048,2499,card,card_expired,3,3,6,1047,239,2499,19,0.333,standard,0
C1049,sub_1049,2499,netbanking,network,2,9,5,1301,769,2499,15,0.588,standard,1
C1050,sub_1050,2499,card,network,1,0,3,1005,686,2499,19,0.167,new,0
C1051,sub_1051,1499,card,network,1,2,4,610,296,1499,12,0.333,standard,0
C1052,sub_1052,1499,card,bank_decline,1,1,2,1261,281,1499,9,0.333,standard,0
C1053,sub_1053,2499,card,card_expired,5,9,1,1414,313,2499,18,0.769,standard,0
C1054,sub_1054,2499,upi,bank_decline,1,6,4,1196,107,2499,13,0.538,standard,0
C1055,sub_1055,1499,card,bank_decline,1,0,3,1316,143,1499,17,0.167,standard,0
C1056,sub_1056,2499,card,insufficient_funds,5,10,1,405,893,2499,19,0.786,standard,0
C1057,sub_1057,299,card,card_expired,5,9,4,637,624,299,6,0.625,standard,0
C1058,sub_1058,1499,card,network,2,10,2,381,610,1499,4,0.733,standard,1
C1059,sub_1059,499,card,network,4,2,4,555,252,499,3,0.333,standard,0
C1060,sub_1060,799,card,card_expired,3,12,2,1102,770,799,13,0.765,standard,0
C1061,sub_1061,2499,card,insufficient_funds,3,2,6,1018,159,2499,17,0.273,standard,0
C1062,sub_1062,299,card,card_expired,2,7,5,14,871,299,21,0.533,standard,0
C1063,sub_1063,2499,card,bank_decline,4,7,3,1135,453,2499,0,0.615,standard,0
C1064,sub_1064,499,netbanking,card_expired,5,3,4,296,298,499,0,0.4,standard,0
C1065,sub_1065,2499,card,card_expired,4,5,1,286,675,2499,14,0.667,standard,0
C1066,sub_1066,2499,upi,card_expired,5,0,6,819,376,2499,5,0.111,standard,0
C1067,sub_1067,299,card,insufficient_funds,1,6,1,369,243,299,10,0.7,new,1
C1068,sub_1068,499,card,network,4,9,6,1444,615,499,1,0.556,standard,0
C1069,sub_1069,2499,card,insufficient_funds,5,4,5,227,650,2499,1,0.417,standard,0
C1070,sub_1070,799,card,network,3,7,1,235,543,799,11,0.727,loyal,1
C1071,sub_1071,999,card,insufficient_funds,5,13,0,1143,416,999,15,0.875,standard,0
C1072,sub_1072,299,card,bank_decline,2,3,5,437,296,299,19,0.364,standard,0
C1073,sub_1073,1499,card,network,5,4,6,1074,363,1499,10,0.385,standard,1
C1074,sub_1074,299,netbanking,network,5,1,5,1025,787,299,14,0.222,standard,0
C1075,sub_1075,499,card,insufficient_funds,4,7,0,291,324,499,18,0.8,loyal,0
C1076,sub_1076,999,card,insufficient_funds,4,2,4,874,870,999,9,0.333,standard,0
C1077,sub_1077,2499,card,card_expired,3,11,2,809,131,2499,4,0.75,standard,0
C1078,sub_1078,999,card,card_expired,2,4,6,150,147,999,18,0.385,standard,0
C1079,sub_1079,4999,upi,bank_decline,3,9,5,1148,300,4999,0,0.588,loyal,0
C1080,sub_1080,999,card,card_expired,5,2,5,1287,3,999,6,0.3,enterprise,0
C1081,sub_1081,499,card,insufficient_funds,1,4,2,1421,791,499,2,0.556,standard,0
C1082,sub_1082,499,card,bank_decline,2,2,2,140,307,499,14,0.429,standard,1
C1083,sub_1083,2499,card,network,3,7,5,275,92,2499,5,0.533,new,1
C1084,sub_1084,999,netbanking,network,2,0,0,1239,557,999,7,0.333,enterprise,1
C1085,sub_1085,1499,card,network,4,1,0,463,862,1499,14,0.5,standard,0
C1086,sub_1086,799,upi,bank_decline,2,7,0,942,894,799,6,0.8,new,0
C1087,sub_1087,499,card,insufficient_funds,4,7,3,529,97,499,7,0.615,standard,0
C1088,sub_1088,1499,netbanking,network,1,4,0,334,713,1499,10,0.714,standard,1
C1089,sub_1089,799,card,insufficient_funds,2,6,4,941,326,799,2,0.538,standard,0
C1090,sub_1090,4999,card,network,4,5,1,316,752,4999,20,0.667,loyal,0
C1091,sub_1091,2499,upi,card_expired,3,10,6,213,546,2499,21,0.579,standard,0
C1092,sub_1092,2499,card,insufficient_funds,4,6,3,800,658,2499,15,0.583,standard,0
C1093,sub_1093,499,card,insufficient_funds,4,11,0,298,754,499,2,0.857,enterprise,1
C1094,sub_1094,299,netbanking,insufficient_funds,2,3,4,296,805,299,10,0.4,enterprise,1
C1095,sub_1095,299,card,card_expired,3,2,2,1172,130,299,7,0.429,standard,0
C1096,sub_1096,4999,upi,insufficient_funds,5,5,1,797,651,4999,3,0.667,standard,0
C1097,sub_1097,4999,upi,network,5,1,4,817,127,4999,19,0.25,loyal,0
C1098,sub_1098,1499,upi,network,1,9,6,223,849,1499,9,0.556,standard,1
C1099,sub_1099,1499,upi,technical,4,5,6,248,565,1499,14,0.429,enterprise,1
C1100,sub_1100,499,card,technical,3,5,3,592,174,499,15,0.545,standard,0
C1101,sub_1101,2499,card,card_expired,1,7,5,588,264,2499,7,0.533,loyal,0
C1102,sub_1102,999,card,network,4,1,1,682,806,999,7,0.4,standard,0
C1103,sub_1103,1499,card,technical,1,5,5,210,580,1499,21,0.462,standard,0
C1104,sub_1104,299,upi,bank_decline,2,13,6,1348,207,299,18,0.636,loyal,1
C1105,sub_1105,999,card,bank_decline,4,8,3,550,738,999,11,0.643,new,0
C1106,sub_1106,1499,card,insufficient_funds,5,8,3,1226,646,1499,11,0.643,standard,0
C1107,sub_1107,2499,card,network,3,7,3,606,70,2499,0,0.615,standard,0
C1108,sub_1108,499,card,network,5,6,0,713,255,499,4,0.778,new,0
C1109,sub_1109,299,upi,technical,5,13,6,177,760,299,0,0.636,new,0
C1110,sub_1110,2499,card,insufficient_funds,3,13,5,1018,316,2499,17,0.667,standard,0
C1111,sub_1111,799,card,network,1,5,6,99,34,799,20,0.429,standard,0
C1112,sub_1112,999,upi,insufficient_funds,4,12,0,1124,543,999,3,0.867,new,0
C1113,sub_1113,1499,netbanking,card_expired,1,1,5,1323,809,1499,6,0.222,new,0
C1114,sub_1114,999,card,network,5,4,2,548,501,999,7,0.556,loyal,0
C1115,sub_1115,4999,netbanking,bank_decline,2,4,5,1332,878,4999,17,0.417,new,0
C1116,sub_1116,2499,card,bank_decline,4,9,6,1051,103,2499,8,0.556,loyal,0
C1117,sub_1117,799,upi,bank_decline,4,8,6,13,601,799,0,0.529,new,0
C1118,sub_1118,499,card,insufficient_funds,3,6,6,312,585,499,12,0.467,new,0
C1119,sub_1119,4999,card,card_expired,5,3,0,965,885,4999,3,0.667,standard,0
C1120,sub_1120,1499,upi,card_expired,4,7,2,1055,469,1499,14,0.667,standard,0
C1121,sub_1121,2499,card,card_expired,5,3,2,149,739,2499,18,0.5,standard,0
C1122,sub_1122,999,card,network,1,6,3,1030,131,999,1,0.583,loyal,1
C1123,sub_1123,999,card,insufficient_funds,3,4,6,1217,40,999,21,0.385,standard,0
C1124,sub_1124,499,card,network,5,12,4,146,645,499,14,0.684,new,1
C1125,sub_1125,999,card,insufficient_funds,5,10,3,1320,4,999,1,0.688,loyal,0
C1126,sub_1126,999,card,insufficient_funds,3,2,5,804,787,999,4,0.3,new,0
C1127,sub_1127,299,card,network,1,13,1,928,19,299,3,0.824,loyal,1
C1128,sub_1128,1499,netbanking,network,2,9,4,85,619,1499,19,0.625,standard,1
C1129,sub_1129,1499,netbanking,card_expired,3,4,3,923,407,1499,15,0.5,standard,0
C1130,sub_1130,2499,card,network,4,7,1,687,581,2499,8,0.727,standard,1
C1131,sub_1131,299,card,technical,5,2,4,563,561,299,11,0.333,standard,0
C1132,sub_1132,499,card,card_expired,1,0,5,1172,400,499,7,0.125,standard,0
C1133,sub_1133,999,card,insufficient_funds,2,5,5,381,433,999,8,0.462,enterprise,0
C1134,sub_1134,4999,netbanking,card_expired,2,10,5,99,453,4999,14,0.611,standard,0
C1135,sub_1135,499,card,network,5,4,5,753,609,499,4,0.417,enterprise,0
C1136,sub_1136,4999,card,technical,1,5,3,1118,639,4999,16,0.545,standard,1
C1137,sub_1137,4999,card,insufficient_funds,2,13,0,209,405,4999,20,0.875,new,0
C1138,sub_1138,299,card,bank_decline,2,13,6,1477,317,299,21,0.636,standard,0
C1139,sub_1139,799,upi,network,1,6,3,1011,39,799,3,0.583,enterprise,0
C1140,sub_1140,499,upi,insufficient_funds,4,0,4,1401,701,499,9,0.143,standard,0
C1141,sub_1141,999,card,insufficient_funds,3,9,0,710,204,999,5,0.833,loyal,1
C1142,sub_1142,4999,card,technical,3,10,6,193,391,4999,13,0.579,standard,0
C1143,sub_1143,799,netbanking,card_expired,5,12,6,274,893,799,7,0.619,loyal,0
C1144,sub_1144,1499,card,insufficient_funds,3,13,6,755,706,1499,8,0.636,loyal,0
C1145,sub_1145,299,upi,network,2,8,1,886,311,299,3,0.75,standard,0
C1146,sub_1146,999,netbanking,insufficient_funds,2,1,5,1103,427,999,12,0.222,standard,0
C1147,sub_1147,799,card,insufficient_funds,5,3,4,1195,292,799,11,0.4,standard,0
C1148,sub_1148,4999,netbanking,insufficient_funds,3,10,1,1146,563,4999,12,0.786,enterprise,0
C1149,sub_1149,2499,card,network,1,8,3,887,138,2499,7,0.643,standard,1
C1150,sub_1150,499,upi,bank_decline,4,6,3,36,857,499,16,0.583,standard,0
C1151,sub_1151,1499,card,technical,4,5,4,799,888,1499,13,0.5,loyal,0
C1152,sub_1152,799,card,network,2,9,0,1230,269,799,3,0.833,standard,1
C1153,sub_1153,999,card,card_expired,3,5,3,1273,208,999,8,0.545,standard,0
C1154,sub_1154,999,card,network,3,2,4,1253,485,999,14,0.333,standard,0
C1155,sub_1155,2499,card,card_expired,1,13,5,26,582,2499,2,0.667,standard,0
C1156,sub_1156,799,card,insufficient_funds,1,4,5,658,579,799,7,0.417,standard,0
C1157,sub_1157,299,card,card_expired,4,3,4,928,38,299,19,0.4,new,0
C1158,sub_1158,499,card,bank_decline,4,0,4,378,640,499,9,0.143,loyal,0
C1159,sub_1159,2499,card,bank_decline,4,6,0,620,60,2499,11,0.778,standard,0
C1160,sub_1160,799,netbanking,network,2,13,5,155,308,799,14,0.667,loyal,1
C1161,sub_1161,299,netbanking,technical,3,2,2,298,645,299,7,0.429,standard,0
C1162,sub_1162,799,card,network,5,3,3,18,798,799,18,0.444,enterprise,1
C1163,sub_1163,4999,card,network,2,2,3,1469,572,4999,0,0.375,standard,0
C1164,sub_1164,4999,upi,card_expired,4,1,6,1290,144,4999,10,0.2,standard,0
C1165,sub_1165,4999,upi,insufficient_funds,1,8,2,611,612,4999,13,0.692,enterprise,1
C1166,sub_1166,1499,card,bank_decline,1,4,2,16,34,1499,5,0.556,standard,0
C1167,sub_1167,2499,upi,bank_decline,5,10,5,509,208,2499,17,0.611,enterprise,0
C1168,sub_1168,2499,card,insufficient_funds,1,5,4,656,112,2499,1,0.5,standard,0
C1169,sub_1169,299,card,technical,4,8,2,261,886,299,14,0.692,standard,0
C1170,sub_1170,799,upi,insufficient_funds,3,1,2,995,332,799,13,0.333,standard,0
C1171,sub_1171,999,upi,insufficient_funds,5,4,5,1496,502,999,17,0.417,loyal,0
C1172,sub_1172,999,upi,network,3,5,5,1267,711,999,4,0.462,standard,0
C1173,sub_1173,2499,card,technical,4,0,1,1285,872,2499,3,0.25,loyal,0
C1174,sub_1174,4999,card,network,5,5,2,1248,895,4999,12,0.6,new,0
C1175,sub_1175,999,card,network,5,6,5,114,148,999,21,0.5,standard,0
C1176,sub_1176,299,card,insufficient_funds,4,5,0,831,355,299,17,0.75,loyal,0
C1177,sub_1177,799,card,technical,1,7,1,852,365,799,4,0.727,enterprise,1
C1178,sub_1178,499,card,technical,1,11,1,160,716,499,8,0.8,standard,1
C1179,sub_1179,999,card,bank_decline,3,10,3,229,302,999,5,0.688,new,0
C1180,sub_1180,499,upi,technical,4,0,3,852,208,499,17,0.167,new,0
C1181,sub_1181,299,card,technical,4,8,2,1076,679,299,11,0.692,new,1
C1182,sub_1182,499,card,insufficient_funds,4,12,0,321,446,499,9,0.867,loyal,0
C1183,sub_1183,999,upi,insufficient_funds,1,12,4,731,673,999,0,0.684,standard,0
C1184,sub_1184,299,card,bank_decline,1,4,5,122,342,299,13,0.417,standard,0
C1185,sub_1185,299,upi,card_expired,1,10,1,174,438,299,9,0.786,loyal,1
C1186,sub_1186,499,card,insufficient_funds,3,11,4,874,9,499,0,0.667,loyal,0
C1187,sub_1187,1499,card,network,4,5,5,839,15,1499,4,0.462,standard,1
C1188,sub_1188,1499,netbanking,bank_decline,1,12,3,1127,1,1499,15,0.722,loyal,1
C1189,sub_1189,799,card,network,5,8,4,1366,158,799,16,0.6,standard,0
C1190,sub_1190,1499,card,technical,2,10,1,293,313,1499,10,0.786,standard,1
C1191,sub_1191,499,upi,network,4,10,6,518,46,499,16,0.579,loyal,1
C1192,sub_1192,2499,card,network,4,10,6,1285,145,2499,16,0.579,new,0
C1193,sub_1193,299,upi,bank_decline,1,13,4,85,762,299,13,0.7,enterprise,0
C1194,sub_1194,299,netbanking,network,5,12,6,1244,769,299,4,0.619,standard,1
C1195,sub_1195,4999,netbanking,network,5,5,4,1418,261,4999,9,0.5,loyal,0
C1196,sub_1196,999,card,card_expired,5,7,4,158,851,999,17,0.571,new,0
C1197,sub_1197,999,card,bank_decline,1,9,5,221,107,999,6,0.588,standard,0
C1198,sub_1198,799,upi,network,2,11,0,1029,29,799,14,0.857,loyal,1
C1199,sub_1199,1499,card,insufficient_funds,2,5,1,717,319,1499,18,0.667,loyal,0
C1200,sub_1200,2499,card,bank_decline,3,4,1,1481,238,2499,11,0.625,loyal,0
C1201,sub_1201,2499,card,technical,5,10,4,821,70,2499,11,0.647,standard,0
C1202,sub_1202,499,card,insufficient_funds,4,13,1,986,762,499,4,0.824,standard,0
C1203,sub_1203,1499,card,network,4,12,2,363,880,1499,10,0.765,standard,0
C1204,sub_1204,2499,card,network,3,2,3,493,244,2499,0,0.375,standard,0
C1205,sub_1205,799,card,network,5,12,5,274,284,799,2,0.65,standard,1
C1206,sub_1206,799,card,network,5,11,3,228,646,799,11,0.706,loyal,0
C1207,sub_1207,1499,netbanking,card_expired,5,2,0,178,839,1499,4,0.6,standard,0
C1208,sub_1208,1499,card,network,5,0,4,1340,258,1499,7,0.143,standard,0
C1209,sub_1209,499,card,insufficient_funds,4,2,2,114,614,499,7,0.429,loyal,0
C1210,sub_1210,4999,card,card_expired,1,13,0,779,21,4999,10,0.875,enterprise,0
C1211,sub_1211,999,card,card_expired,2,10,4,767,509,999,15,0.647,standard,0
C1212,sub_1212,999,netbanking,network,4,8,1,93,888,999,9,0.75,loyal,1
C1213,sub_1213,499,netbanking,bank_decline,2,8,3,1264,428,499,18,0.643,loyal,0
C1214,sub_1214,1499,card,bank_decline,1,5,6,756,577,1499,10,0.429,standard,0
C1215,sub_1215,4999,card,bank_decline,5,12,1,198,618,4999,21,0.812,loyal,0
C1216,sub_1216,2499,card,network,3,2,6,201,569,2499,21,0.273,enterprise,0
C1217,sub_1217,999,card,network,5,4,3,1053,617,999,9,0.5,loyal,1
C1218,sub_1218,1499,card,technical,2,2,6,933,798,1499,16,0.273,new,0
C1219,sub_1219,499,card,insufficient_funds,2,11,5,624,10,499,9,0.632,standard,1
C1220,sub_1220,299,card,insufficient_funds,2,7,5,613,796,299,19,0.533,loyal,0
C1221,sub_1221,1499,card,insufficient_funds,2,9,1,62,817,1499,16,0.769,standard,0
C1222,sub_1222,499,card,card_expired,3,12,5,57,813,499,7,0.65,new,0
C1223,sub_1223,299,card,technical,2,2,2,808,331,299,7,0.429,new,0
C1224,sub_1224,2499,card,insufficient_funds,5,13,6,551,525,2499,19,0.636,loyal,0
C1225,sub_1225,999,card,technical,2,1,6,385,318,999,11,0.2,standard,0
C1226,sub_1226,2499,card,network,3,10,4,574,756,2499,15,0.647,enterprise,0
C1227,sub_1227,4999,card,card_expired,5,9,6,911,366,4999,14,0.556,standard,0
C1228,sub_1228,299,card,card_expired,3,11,3,446,282,299,3,0.706,loyal,0
C1229,sub_1229,2499,card,network,1,2,0,530,617,2499,5,0.6,new,0
C1230,sub_1230,799,upi,network,1,13,6,431,45,799,19,0.636,loyal,0
C1231,sub_1231,1499,netbanking,insufficient_funds,3,11,3,1003,339,1499,6,0.706,loyal,0
C1232,sub_1232,299,card,technical,4,1,0,91,186,299,19,0.5,standard,0
C1233,sub_1233,999,card,card_expired,5,7,0,1378,337,999,7,0.8,standard,0
C1234,sub_1234,1499,upi,technical,1,11,5,836,404,1499,18,0.632,loyal,1
C1235,sub_1235,999,upi,bank_decline,3,6,6,374,58,999,12,0.467,loyal,0
C1236,sub_1236,999,card,insufficient_funds,2,5,4,1141,778,999,2,0.5,standard,0
C1237,sub_1237,299,card,bank_decline,3,3,3,1410,375,299,5,0.444,standard,0
C1238,sub_1238,299,card,network,3,7,2,96,323,299,20,0.667,loyal,1
C1239,sub_1239,1499,card,network,2,13,2,314,135,1499,4,0.778,loyal,1
C1240,sub_1240,799,card,bank_decline,1,8,2,224,896,799,5,0.692,standard,0
C1241,sub_1241,1499,card,bank_decline,1,10,1,115,770,1499,3,0.786,standard,0
C1242,sub_1242,799,card,network,3,10,0,1110,434,799,13,0.846,new,1
C1243,sub_1243,299,card,insufficient_funds,2,10,3,297,301,299,17,0.688,loyal,1
C1244,sub_1244,1499,card,card_expired,2,5,1,581,421,1499,20,0.667,loyal,0
C1245,sub_1245,299,upi,bank_decline,1,10,1,1224,864,299,19,0.786,standard,0
C1246,sub_1246,2499,card,card_expired,1,4,1,921,200,2499,19,0.625,standard,0
C1247,sub_1247,299,card,insufficient_funds,1,8,5,1019,616,299,19,0.562,standard,0
C1248,sub_1248,4999,card,insufficient_funds,2,4,4,155,813,4999,12,0.455,new,0
C1249,sub_1249,499,upi,insufficient_funds,1,13,3,1456,680,499,18,0.737,enterprise,1
C1250,sub_1250,4999,card,card_expired,2,10,4,133,783,4999,13,0.647,loyal,0
C1251,sub_1251,299,card,bank_decline,2,8,3,1067,853,299,3,0.643,standard,1
C1252,sub_1252,999,card,insufficient_funds,2,6,3,962,54,999,0,0.583,new,0
C1253,sub_1253,799,upi,network,1,7,5,624,215,799,2,0.533,new,1
C1254,sub_1254,499,upi,network,1,10,5,1258,130,499,7,0.611,loyal,1
C1255,sub_1255,999,netbanking,bank_decline,5,3,1,1339,510,999,10,0.571,standard,0
C1256,sub_1256,499,card,bank_decline,4,11,5,114,367,499,14,0.632,standard,0
C1257,sub_1257,999,card,network,1,3,1,1437,37,999,11,0.571,enterprise,1
C1258,sub_1258,799,card,network,2,1,0,369,502,799,8,0.5,standard,0
C1259,sub_1259,499,card,card_expired,2,10,2,1189,91,499,16,0.733,loyal,1
C1260,sub_1260,2499,upi,network,5,9,2,1232,367,2499,18,0.714,new,0
C1261,sub_1261,999,card,bank_decline,5,4,5,839,330,999,4,0.417,standard,0
C1262,sub_1262,2499,card,insufficient_funds,4,9,4,1296,804,2499,5,0.625,loyal,0
C1263,sub_1263,2499,netbanking,network,1,10,0,1240,614,2499,20,0.846,loyal,1
C1264,sub_1264,499,card,technical,3,11,3,788,562,499,21,0.706,loyal,0
C1265,sub_1265,799,card,network,3,13,5,276,748,799,6,0.667,standard,0
C1266,sub_1266,4999,card,insufficient_funds,4,11,5,657,163,4999,11,0.632,standard,0
C1267,sub_1267,799,upi,network,5,6,3,1351,231,799,12,0.583,standard,0
C1268,sub_1268,299,netbanking,network,2,3,4,312,677,299,13,0.4,new,1
C1269,sub_1269,999,card,network,3,1,3,1499,674,999,19,0.286,standard,0
C1270,sub_1270,4999,netbanking,network,2,8,1,280,20,4999,2,0.75,standard,1
C1271,sub_1271,499,netbanking,network,2,9,3,1001,202,499,11,0.667,new,1
C1272,sub_1272,1499,upi,network,2,9,4,965,205,1499,4,0.625,standard,0
C1273,sub_1273,799,upi,card_expired,4,0,0,301,6,799,16,0.333,new,0
C1274,sub_1274,799,card,card_expired,3,9,4,713,595,799,13,0.625,standard,0
C1275,sub_1275,999,upi,insufficient_funds,4,11,1,225,49,999,16,0.8,loyal,0
C1276,sub_1276,499,card,insufficient_funds,4,10,0,553,757,499,19,0.846,enterprise,0
C1277,sub_1277,799,upi,insufficient_funds,2,7,5,1439,527,799,17,0.533,new,0
C1278,sub_1278,499,card,bank_decline,5,0,2,90,685,499,18,0.2,standard,0
C1279,sub_1279,2499,upi,bank_decline,1,6,2,1308,447,2499,17,0.636,loyal,1
C1280,sub_1280,499,netbanking,network,5,9,4,1019,873,499,13,0.625,new,0
C1281,sub_1281,2499,card,network,1,7,3,1125,244,2499,8,0.615,loyal,1
C1282,sub_1282,299,netbanking,network,2,8,4,430,502,299,7,0.6,new,0
C1283,sub_1283,799,card,network,5,7,6,1424,6,799,7,0.5,standard,1
C1284,sub_1284,499,card,card_expired,4,7,4,387,749,499,13,0.571,standard,0
C1285,sub_1285,999,card,insufficient_funds,2,4,0,760,511,999,17,0.714,loyal,0
C1286,sub_1286,2499,upi,network,5,8,1,64,159,2499,8,0.75,standard,0
C1287,sub_1287,4999,card,insufficient_funds,1,3,3,1332,736,4999,12,0.444,new,0
C1288,sub_1288,2499,card,insufficient_funds,4,6,3,1059,890,2499,9,0.583,standard,0
C1289,sub_1289,999,card,network,3,5,2,252,62,999,13,0.6,standard,1
C1290,sub_1290,999,card,bank_decline,2,9,1,996,761,999,18,0.769,enterprise,0
C1291,sub_1291,4999,card,network,5,12,0,282,663,4999,9,0.867,standard,1
C1292,sub_1292,4999,upi,technical,4,8,1,672,319,4999,8,0.75,new,0
C1293,sub_1293,2499,upi,network,1,1,6,773,571,2499,4,0.2,standard,0
C1294,sub_1294,499,upi,bank_decline,1,9,2,1397,707,499,10,0.714,standard,1
C1295,sub_1295,499,card,technical,1,4,6,505,431,499,10,0.385,loyal,0
C1296,sub_1296,499,netbanking,technical,3,0,2,29,600,499,3,0.2,loyal,1
C1297,sub_1297,499,card,bank_decline,3,2,2,654,44,499,21,0.429,new,0
C1298,sub_1298,4999,card,bank_decline,4,13,3,1390,832,4999,18,0.737,standard,0
C1299,sub_1299,499,card,card_expired,4,5,6,1199,831,499,6,0.429,standard,0
C1300,sub_1300,2499,card,bank_decline,1,2,3,98,190,2499,20,0.375,standard,0
C1301,sub_1301,2499,card,network,3,1,0,89,430,2499,5,0.5,standard,0
C1302,sub_1302,999,upi,insufficient_funds,4,9,1,1137,215,999,9,0.769,standard,0
C1303,sub_1303,799,card,insufficient_funds,5,10,6,1084,360,799,2,0.579,standard,0
C1304,sub_1304,499,card,bank_decline,2,4,1,840,248,499,13,0.625,standard,0
C1305,sub_1305,1499,upi,insufficient_funds,1,1,5,141,775,1499,10,0.222,standard,0
C1306,sub_1306,1499,netbanking,insufficient_funds,1,4,6,427,625,1499,5,0.385,loyal,1
C1307,sub_1307,999,card,card_expired,2,9,1,1272,761,999,6,0.769,standard,0
C1308,sub_1308,999,card,network,3,1,3,217,713,999,20,0.286,loyal,0
C1309,sub_1309,2499,card,network,2,3,4,310,654,2499,15,0.4,standard,0
C1310,sub_1310,2499,card,insufficient_funds,1,0,5,683,150,2499,3,0.125,standard,0
C1311,sub_1311,2499,card,insufficient_funds,2,6,5,1105,746,2499,2,0.5,standard,0
C1312,sub_1312,499,card,network,2,2,0,1244,704,499,1,0.6,standard,1
C1313,sub_1313,299,upi,insufficient_funds,3,2,2,891,112,299,5,0.429,standard,0
C1314,sub_1314,999,card,insufficient_funds,1,1,6,743,79,999,16,0.2,standard,0
